survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone
1,1,female,54.0,1,0,78.2667,C,First,woman,False,D,Cherbourg,yes,False
0,1,female,25.0,1,2,151.55,S,First,woman,False,C,Southampton,no,False
1,1,female,16.0,0,0,86.5,S,First,woman,False,B,Southampton,yes,True
1,1,female,54.0,1,0,59.4,C,First,woman,False,,Cherbourg,yes,False
1,1,female,30.0,0,0,93.5,S,First,woman,False,B,Southampton,yes,True
1,1,female,44.0,0,1,57.9792,C,First,woman,False,B,Cherbourg,yes,False
1,1,female,30.0,0,0,106.425,C,First,woman,False,,Cherbourg,yes,True
1,1,female,22.0,0,2,49.5,C,First,woman,False,B,Cherbourg,yes,False
1,1,female,36.0,0,2,71.0,S,First,woman,False,B,Southampton,yes,False
1,1,female,48.0,1,0,39.6,C,First,woman,False,A,Cherbourg,yes,False
1,1,female,39.0,1,1,79.65,S,First,woman,False,E,Southampton,yes,False
1,1,female,53.0,2,0,51.4792,S,First,woman,False,C,Southampton,yes,False
1,1,female,39.0,1,0,55.9,S,First,woman,False,E,Southampton,yes,False
1,1,female,39.0,1,1,110.8833,C,First,woman,False,C,Cherbourg,yes,False
1,1,female,18.0,0,2,79.65,S,First,woman,False,E,Southampton,yes,False
1,1,female,52.0,1,0,78.2667,C,First,woman,False,D,Cherbourg,yes,False
1,1,female,40.0,0,0,153.4625,S,First,woman,False,C,Southampton,yes,True
1,1,female,21.0,0,0,77.9583,S,First,woman,False,D,Southampton,yes,True
1,1,female,24.0,0,0,69.3,C,First,woman,False,B,Cherbourg,yes,True
1,1,female,,1,0,52.0,S,First,woman,False,C,Southampton,yes,False
1,1,female,15.0,0,1,211.3375,S,First,child,False,B,Southampton,yes,False
1,1,female,18.0,1,0,227.525,C,First,woman,False,C,Cherbourg,yes,False
1,1,female,22.0,0,0,151.55,S,First,woman,False,,Southampton,yes,True
1,1,female,24.0,0,0,49.5042,C,First,woman,False,C,Cherbourg,yes,True
1,1,female,38.0,0,0,227.525,C,First,woman,False,C,Cherbourg,yes,True
1,1,female,29.0,0,0,211.3375,S,First,woman,False,B,Southampton,yes,True
1,1,female,21.0,2,2,262.375,C,First,woman,False,B,Cherbourg,yes,False
1,1,female,33.0,0,0,86.5,S,First,woman,False,B,Southampton,yes,True
1,1,female,36.0,1,2,120.0,S,First,woman,False,B,Southampton,yes,False
1,1,female,51.0,1,0,77.9583,S,First,woman,False,D,Southampton,yes,False
1,1,female,43.0,0,1,211.3375,S,First,woman,False,B,Southampton,yes,False
1,1,female,17.0,1,0,57.0,S,First,woman,False,B,Southampton,yes,False
1,1,female,49.0,0,0,25.9292,S,First,woman,False,D,Southampton,yes,True
1,1,female,33.0,1,0,53.1,S,First,woman,False,E,Southampton,yes,False
1,1,female,52.0,1,1,93.5,S,First,woman,False,B,Southampton,yes,False
1,1,female,62.0,0,0,80.0,,First,woman,False,B,,yes,True
1,1,female,39.0,1,1,83.1583,C,First,woman,False,E,Cherbourg,yes,False
1,1,female,30.0,0,0,31.0,C,First,woman,False,,Cherbourg,yes,True
1,1,female,,1,0,89.1042,C,First,woman,False,C,Cherbourg,yes,False
1,1,female,16.0,0,1,39.4,S,First,woman,False,D,Southampton,yes,False
1,1,female,45.0,1,1,164.8667,S,First,woman,False,,Southampton,yes,False
1,1,female,48.0,0,0,25.9292,S,First,woman,False,D,Southampton,yes,True
1,1,female,47.0,1,1,52.5542,S,First,woman,False,D,Southampton,yes,False
1,1,female,56.0,0,1,83.1583,C,First,woman,False,C,Cherbourg,yes,False
1,1,female,19.0,0,0,30.0,S,First,woman,False,B,Southampton,yes,True
